103.104.193.22:8080 PK-N - 
164.132.170.100:80 FR-H - 
45.233.67.211:999 GT-N! - 
167.99.236.14:80 US-H + 
180.92.145.234:8080 PK-N-S - 
103.171.194.38:83 IN-N-S - 
5.182.26.131:80 UZ-A - 
162.144.236.128:80 US-H! + 
138.68.235.51:80 US-H - 
201.249.152.174:999 VE-N! - 
190.92.35.102:999 HN-N - 
194.150.69.44:8888 IR-N-S! - 
186.96.111.178:999 CO-N-S - 
65.20.190.48:443 IQ-A - 
117.247.69.74:80 IN-H - 
165.227.236.216:80 GB-H + 
45.175.238.70:999 MX-N-S - 
180.178.189.102:3127 PK-N - 
179.1.98.54:999 CO-N-S - 
41.72.203.182:42928 KE-H - 
91.150.189.122:30389 PL-H-S - 
45.170.100.128:999 CL-N! - 
187.63.156.82:999 DO-N! - 
134.209.28.98:3128 GB-A - 
140.227.25.191:23456 JP-H - 
151.80.119.118:808 FR-H-S - 
35.198.194.164:80 SG-H - 
85.221.249.212:8080 PL-N! - 
38.94.109.12:80 US-A! + 
160.251.40.149:3128 JP-A - 
103.125.162.134:83 IN-N-S - 
20.150.141.21:3128 US-A-S - 
95.0.66.86:8080 TR-N - 
158.58.173.147:80 IT-H + 
110.164.3.7:8888 TH-H + 
161.35.161.38:80 GB-A + 
20.169.138.241:3128 US-A-S + 
74.205.128.200:80 US-H - 
37.230.114.132:3128 RU-A! - 
34.87.84.105:80 SG-H - 
160.3.168.70:8080 US-N - 
109.110.35.210:9090 RU-H - 
178.32.106.249:80 FR-A! - 
3.36.130.175:80 KR-H + 
51.79.250.224:3128 SG-N - 
54.86.198.153:80 US-H - 
95.217.120.81:3368 FI-N + 
94.75.76.3:8080 PL-N-S - 
181.78.0.58:999 CO-N-S - 
143.198.40.24:8888 CA-H - 
50.193.36.173:8080 US-N - 
102.68.78.57:8080 KE-N! - 
188.132.222.36:8080 TR-N! - 
46.38.44.81:8082 RU-N! - 
193.242.138.1:3128 PL-A-S! + 
103.17.213.98:8080 KH-N-S - 
27.124.24.212:80 IN-A - 
103.156.184.184:80 TW-A + 
180.232.123.250:3128 PH-A! - 
185.190.38.22:8080 AL-N! - 
165.22.218.125:3128 IN-N - 
2.138.26.123:3128 ES-N-S + 
177.234.244.139:999 EC-N - 
109.248.249.33:8081 RU-N! - 
82.223.102.92:9443 ES-H - 
185.154.236.8:8080 IT-N - 
65.121.180.14:21988 US-H - 
47.180.214.9:3128 US-N-S - 
190.108.82.110:999 PE-N! - 
181.209.95.13:999 AR-N! - 
68.183.185.62:80 SG-H + 
200.111.125.118:999 CL-N! - 
190.61.84.166:9812 CR-H - 
104.236.78.102:3128 US-N - 
104.192.202.11:8080 US-N - 
41.65.174.36:1981 EG-N - 
31.169.50.141:80 NO-H + 
62.193.68.67:1981 EG-N - 
197.232.65.40:55443 KE-H - 
190.202.111.202:8080 VE-N - 
50.16.33.219:80 US-H - 
190.61.101.205:8080 GT-N - 
194.31.53.250:80 SG-H - 
82.66.196.208:80 FR-H + 
41.59.97.53:9999 TZ-N-S - 
93.100.118.135:8080 RU-N - 
162.250.112.65:8282 US-N! - 
118.26.110.48:8080 SG-A - 
45.70.15.9:8080 EC-N-S! - 
195.210.169.82:8080 RU-N-S + 
180.180.218.250:8080 TH-N - 
3.91.222.40:80 US-H + 
81.174.11.159:61743 IT-H - 
170.83.242.250:999 PY-N - 
1.0.170.50:8080 TH-N - 
177.93.50.234:999 CO-N - 
103.77.41.138:8080 IN-N-S - 
208.109.191.161:80 US-H! - 
154.236.168.169:1976 EG-N! - 
91.204.239.189:8080 UZ-N - 
92.207.253.226:38157 GB-H - 
103.71.22.2:83 IN-N - 
140.227.211.47:8080 JP-H - 
124.158.9.185:3128 VN-N - 
201.222.45.64:999 CL-N! - 
67.206.232.1:999 PR-A! - 
45.32.101.24:80 SG-H - 
195.138.90.226:3128 UA-N - 
80.211.23.121:80 IT-H - 
107.186.85.253:3129 US-A + 
179.57.66.164:9991 CL-N - 
45.169.162.1:3128 BR-H-S! 
200.46.65.66:8080 PA-N - 
202.164.37.35:8080 IN-N - 
80.227.97.202:8080 AE-A - 
68.183.231.190:80 SG-H - 
191.112.53.57:999 CL-N - 
168.90.14.162:999 CO-N - 
193.233.207.91:8000 US-A - 
45.179.200.129:999 CO-N! - 
118.107.44.181:8000 SG-N + 
91.238.52.18:7777 PL-N - 
198.23.143.57:8080 US-N - 
157.90.151.147:80 DE-H - 
210.179.183.148:8080 KR-A + 
197.232.39.208:65238 KE-N - 
83.219.133.85:8080 RU-N - 
185.82.99.148:8099 LB-N! - 
102.68.128.215:8080 LY-N! - 
103.248.120.5:8080 IN-N - 
132.145.223.145:3128 US-N - 
46.122.7.149:8080 SI-N - 
156.67.217.159:80 SG-H - 
195.182.152.238:38178 RU-H - 
88.99.150.83:3128 DE-N + 
20.25.131.117:3128 US-A-S + 
176.192.80.10:3128 RU-N - 
128.201.119.251:999 CL-N-S! - 
44.211.180.72:80 US-A + 
83.118.211.140:3129 FR-A-S - 
41.130.229.137:8080 EG-N - 
219.77.188.21:80 HK-A + 
54.161.135.247:80 US-H - 
37.236.59.83:8080 IQ-N + 
181.129.70.82:46752 CO-H - 
80.249.112.162:80 IR-N + 
103.48.68.37:83 IN-N-S! - 
185.118.155.202:8080 IR-N - 
206.189.146.13:8080 SG-H - 
13.127.179.255:80 IN-H - 
157.230.97.17:8888 DE-H - 
217.199.151.18:8080 KE-N - 
170.39.194.50:3128 US-A + 
128.199.104.25:8080 SG-N + 
103.48.68.35:83 IN-N! - 
38.94.109.7:80 US-A + 
138.121.113.221:999 AR-N - 
188.136.142.8:8085 IR-N! - 
20.187.77.5:80 HK-H - 
12.218.209.130:53281 US-H-S - 
41.188.149.79:80 TZ-A! + 
47.243.244.2:80 HK-A! + 
132.145.248.100:3128 DE-N + 
41.32.12.190:80 EG-A! - 
116.203.197.87:3128 DE-N - 
12.69.91.227:80 US-A - 
118.107.44.181:80 SG-N + 
220.135.72.149:8080 TW-N-S - 
103.174.81.225:84 IN-N-S! - 
